OG0024460	ENSSSAG00000100088.1	XM_035760369.2	ENSOKIG00005045768.1	XM_046368360.1
OG0024488	ENSSSAG00000003380.2	XM_035752669.2	ENSOKIG00005008844.1	XM_046366463.1
OG0024489	ENSSSAG00000084934.1	XM_035753739.2	ENSOKIG00005009752.1	XM_046364472.1
OG0024490	ENSSSAG00000095277.1	XM_035742064.2	ENSOKIG00005014890.1	XM_046309306.1
OG0024491	ENSSSAG00000004801.2	XM_035742300.2	ENSOKIG00005014881.1	XM_046309592.1
OG0024492	ENSSSAG00000045901.2	XM_035752717.2	ENSOKIG00005010967.1	XM_046366418.1
OG0024493	ENSSSAG00000004722.2	XM_035743722.2	ENSOKIG00005014849.1	XM_046309397.1
OG0024494	ENSSSAG00000103481.1	XM_052512423.1	ENSOKIG00005013731.1	XM_046351576.1
OG0024495	ENSSSAG00000110959.1	XM_052512427.1	ENSOKIG00005013641.1	XM_046352115.1
OG0024496	ENSSSAG00000117536.1	XM_035752731.2	ENSOKIG00005011051.1	XM_046366413.1
OG0024497	ENSSSAG00000001355.2	XM_035770554.2	ENSOKIG00005010700.1	XM_046307040.1
OG0024498	ENSSSAG00000066173.2	XM_052464009.1	ENSOKIG00005039420.1	XM_046359477.1
OG0024499	ENSSSAG00000066182.2	XM_052464008.1	ENSOKIG00005039399.1	XM_046359471.1
OG0024500	ENSSSAG00000077680.2	XM_035774609.1	ENSOKIG00005044510.1	XM_046299305.1
OG0024501	ENSSSAG00000100128.1	XM_035770557.2	ENSOKIG00005010883.1	XM_046303819.1
OG0024504	ENSSSAG00000003457.2	XM_035752667.2	ENSOKIG00005008785.1	XM_046366465.1
OG0024505	ENSSSAG00000003538.2	XM_035753736.2	ENSOKIG00005008733.1	XM_046366466.1
OG0024506	ENSSSAG00000098934.1	XM_035753735.2	ENSOKIG00005008725.1	XM_046366468.1
OG0024508	ENSSSAG00000103226.1	XM_052495827.1	ENSOKIG00005035051.1	XM_046367819.1
OG0024511	ENSSSAG00000061216.2	XM_035784167.1	ENSOKIG00005019217.1	XM_046315347.1
OG0024512	ENSSSAG00000088398.1	XM_035788478.2	ENSOKIG00005019210.1	XM_046313339.1
OG0024513	ENSSSAG00000061118.2	XM_035783821.2	ENSOKIG00005019191.1	XM_046314535.1
OG0024518	ENSSSAG00000002278.2	XM_035753740.2	ENSOKIG00005010539.1	XM_046364470.1
OG0024519	ENSSSAG00000102178.1	XM_052510266.1	ENSOKIG00005000418.1	XM_046312687.1
OG0024520	ENSSSAG00000002405.2	XM_052497054.1	ENSOKIG00005010398.1	XM_046366441.1
OG0024524	ENSSSAG00000079675.2	XM_035775356.2	ENSOKIG00005044179.1	XM_046299165.1
OG0024525	ENSSSAG00000116367.1	XM_035763042.2	ENSOKIG00005004898.1	XM_046302989.1
OG0024527	ENSSSAG00000115676.1	XM_052515471.1	ENSOKIG00005045498.1	XM_046336337.1
OG0024528	ENSSSAG00000088618.1	XM_052505364.1	ENSOKIG00005010386.1	XM_046316518.1
OG0024530	ENSSSAG00000091159.1	XM_035761838.2	ENSOKIG00005019641.1	XM_046338536.1
OG0024531	ENSSSAG00000009136.2	XM_035788669.2	ENSOKIG00005045540.1	XM_046359398.1
OG0024533	ENSSSAG00000042035.2	XM_035767453.2	ENSOKIG00005043952.1	XM_046334962.1
OG0024534	ENSSSAG00000007687.2	XM_052499949.1	ENSOKIG00005044325.1	XM_046334929.1
OG0024536	ENSSSAG00000112042.1	XM_052468739.1	ENSOKIG00005029047.1	XM_046293577.1
OG0024540	ENSSSAG00000050699.2	XM_052524343.1	ENSOKIG00005036441.1	XM_046299054.1
OG0024541	ENSSSAG00000056488.2	XM_052467072.1	ENSOKIG00005015017.1	XM_046343481.1
OG0024543	ENSSSAG00000003219.2	XM_035752680.2	ENSOKIG00005009078.1	XM_046366455.1
OG0024546	ENSSSAG00000072517.2	XM_052467041.1	ENSOKIG00005015035.1	XM_046343902.1
OG0024547	ENSSSAG00000103068.1	XM_052487485.1	ENSOKIG00005042690.1	XM_046324149.1
OG0024549	ENSSSAG00000088742.1	XM_052463191.1	ENSOKIG00005015253.1	XM_046316375.1
OG0024550	ENSSSAG00000057613.2	XM_035766712.2	ENSOKIG00005021819.1	XM_046325048.1
OG0024551	ENSSSAG00000056353.2	XM_052487539.1	ENSOKIG00005021660.1	XM_046323607.1
OG0024552	ENSSSAG00000043336.2	XM_035767086.2	ENSOKIG00005019221.1	XM_046299048.1
OG0024556	ENSSSAG00000111754.1	XM_052495728.1	ENSOKIG00005015651.1	XM_046319775.1
OG0024557	ENSSSAG00000002220.2	XM_035752747.2	ENSOKIG00005011122.1	XM_046366400.1
OG0024559	ENSSSAG00000114664.1	XM_052505524.1	ENSOKIG00005037108.1	XM_046341742.1
OG0024560	ENSSSAG00000003338.2	XM_035752674.2	ENSOKIG00005008996.1	XM_046366462.1
OG0024561	ENSSSAG00000083695.1	XM_035754871.2	ENSOKIG00005020442.1	XM_046333455.1
OG0024562	ENSSSAG00000041357.2	XM_035752820.2	ENSOKIG00005021071.1	XM_046366340.1
OG0024564	ENSSSAG00000085388.1	XM_052499960.1	ENSOKIG00005044162.1	XM_046334930.1
OG0024565	ENSSSAG00000122121.1	XM_035775382.2	ENSOKIG00005032930.1	XM_046299464.1
OG0024567	ENSSSAG00000098698.1	XM_052504225.1	ENSOKIG00005035575.1	XM_046336318.1
OG0024570	ENSSSAG00000044618.2	XM_052498131.1	ENSOKIG00005015207.1	XM_046332981.1
OG0024574	ENSSSAG00000044632.2	XM_052495833.1	ENSOKIG00005015198.1	XM_046319705.1
OG0024575	ENSSSAG00000068856.2	XM_035780007.2	ENSOKIG00005040175.1	XM_046332589.1
OG0024578	ENSSSAG00000121936.1	XM_052466778.1	ENSOKIG00005017984.1	XM_046343755.1
OG0024579	ENSSSAG00000087093.1	XM_035767222.2	ENSOKIG00005017993.1	XM_046343806.1
OG0024580	ENSSSAG00000072613.2	XM_052466765.1	ENSOKIG00005018019.1	XM_046343915.1
OG0024581	ENSSSAG00000088975.1	XM_035768451.2	ENSOKIG00005041764.1	XM_046296015.1
OG0024582	ENSSSAG00000076705.2	XM_052515252.1	ENSOKIG00005041757.1	XM_046296013.1
OG0024583	ENSSSAG00000042315.2	XM_035779832.2	ENSOKIG00005026926.1	XM_046327148.1
OG0024584	ENSSSAG00000090887.1	XM_035764757.1	ENSOKIG00005010322.1	XM_046361460.1
OG0024586	ENSSSAG00000049365.2	XM_052467055.1	ENSOKIG00005041104.1	XM_046352914.1
OG0024587	ENSSSAG00000018761.2	XM_052486984.1	ENSOKIG00005023924.1	XM_046323342.1
OG0024588	ENSSSAG00000063141.2	XM_035760949.2	ENSOKIG00005046638.1	XM_046355112.1
OG0024590	ENSSSAG00000041332.2	XM_035752818.2	ENSOKIG00005020986.1	XM_046366341.1
OG0024592	ENSSSAG00000046503.2	XM_035793769.2	ENSOKIG00005048846.1	XM_046292027.1
OG0024593	ENSSSAG00000066085.2	ne homolog 2 _	ENSOKIG00005047385.1	XM_046324853.1
OG0024594	ENSSSAG00000006840.2	XM_035771923.2	ENSOKIG00005050259.1	XM_046318193.1
OG0024595	ENSSSAG00000004466.2	XM_035751708.1	ENSOKIG00005049546.1	XM_046364678.1
OG0024598	ENSSSAG00000046257.2	XM_035793770.2	ENSOKIG00005048793.1	XM_046292026.1
OG0024599	ENSSSAG00000000191.2	XM_052505419.1	ENSOKIG00005044355.1	XM_046337010.1
OG0024600	ENSSSAG00000063207.2	XM_035760837.1	ENSOKIG00005029636.1	XM_046355111.1
OG0024601	ENSSSAG00000063219.2	XM_035760827.2	ENSOKIG00005029659.1	XM_046356276.1
OG0024602	ENSSSAG00000007487.2	XM_035744676.1	ENSOKIG00005026173.1	XM_046324212.1
OG0024603	ENSSSAG00000009023.2	XM_035736784.2	ENSOKIG00005028825.1	XM_046354780.1
OG0024604	ENSSSAG00000010229.2	XM_035737132.2	ENSOKIG00005019954.1	XM_046353086.1
OG0024605	ENSSSAG00000003069.2	XM_035760603.2	ENSOKIG00005049889.1	XM_046367305.1
OG0024606	ENSSSAG00000051122.2	XM_035783174.1	ENSOKIG00005001267.1	XM_046307585.1
OG0024607	ENSSSAG00000043641.2	XM_035739720.2	ENSOKIG00005046154.1	XM_046290943.1
OG0024608	ENSSSAG00000068862.2	XM_035737076.2	ENSOKIG00005014534.1	XM_046351776.1
OG0024609	ENSSSAG00000091836.1	XM_035742236.2	ENSOKIG00005002462.1	XM_046309387.1
OG0024610	ENSSSAG00000116052.1	XM_052480028.1	ENSOKIG00005027341.1	XM_046351829.1
OG0024611	ENSSSAG00000048046.2	XM_035757873.2	ENSOKIG00005028917.1	XM_046308991.1
OG0024612	ENSSSAG00000121731.1	XM_035779964.2	ENSOKIG00005046081.1	XM_046325995.1
OG0024614	ENSSSAG00000073147.2	XM_035779963.2	ENSOKIG00005046088.1	XM_046326006.1
OG0024615	ENSSSAG00000092662.1	XM_035737134.2	ENSOKIG00005019913.1	XM_046353080.1
OG0024616	ENSSSAG00000010258.2	XM_035736642.1	ENSOKIG00005019935.1	XM_046351750.1
OG0024617	ENSSSAG00000055664.2	XM_035779821.2	ENSOKIG00005029662.1	XM_046327295.1
OG0024618	ENSSSAG00000049983.2	XM_052502880.1	ENSOKIG00005019360.1	XM_046334409.1
OG0024619	ENSSSAG00000047511.2	XM_035741461.2	ENSOKIG00005045545.1	XM_046293359.1
OG0024620	ENSSSAG00000015467.2	XM_035781853.2	ENSOKIG00005005166.1	XM_046305939.1
OG0024621	ENSSSAG00000007527.2	XM_035744675.1	ENSOKIG00005026158.1	XM_046325183.1
OG0024624	ENSSSAG00000070669.2	XM_035741499.2	ENSOKIG00005020391.1	XM_046293368.1
OG0024625	ENSSSAG00000003628.2	XM_052488451.1	ENSOKIG00005026148.1	XM_046323168.1
OG0024627	ENSSSAG00000016007.2	XM_052485882.1	ENSOKIG00005001747.1	XM_046309682.1
OG0024628	ENSSSAG00000003717.2	XM_035752396.1	ENSOKIG00005013097.1	XM_046366760.1
OG0024631	ENSSSAG00000086453.1	XM_035774312.2	ENSOKIG00005010605.1	XM_046299512.1
OG0024632	ENSSSAG00000121041.1	XM_052524112.1	ENSOKIG00005006210.1	XM_046298931.1
OG0024633	ENSSSAG00000038654.2	XM_035765833.2	ENSOKIG00005049829.1	XM_046333815.1
OG0024634	ENSSSAG00000007180.2	XM_035768095.2	ENSOKIG00005033423.1	XM_046322441.1
OG0024636	ENSSSAG00000015832.2	XM_035775289.2	ENSOKIG00005006294.1	XM_046299396.1
OG0024637	ENSSSAG00000121108.1	XM_052513280.1	ENSOKIG00005049982.1	XM_046340480.1
OG0024640	ENSSSAG00000064399.2	XM_035761906.2	ENSOKIG00005048212.1	XM_046367719.1
OG0024641	ENSSSAG00000064404.2	XM_035761905.2	ENSOKIG00005048207.1	XM_046367342.1
OG0024642	ENSSSAG00000015545.2	XM_035744672.2	ENSOKIG00005025921.1	XM_046323876.1
OG0024644	ENSSSAG00000083539.1	XM_035763967.2	ENSOKIG00005040555.1	XM_046364176.1
OG0024645	ENSSSAG00000094833.1	XM_052484192.1	ENSOKIG00005011263.1	XM_046337880.1
OG0024646	ENSSSAG00000107573.1	XM_035754712.2	ENSOKIG00005026609.1	XM_046318606.1
OG0024648	ENSSSAG00000117205.1	XM_052505587.1	ENSOKIG00005013029.1	XM_046318431.1
OG0024649	ENSSSAG00000046314.2	XM_035764119.2	ENSOKIG00005005083.1	XM_046333325.1
OG0024650	ENSSSAG00000089201.1	XM_052501454.1	ENSOKIG00005040549.1	XM_046364177.1
OG0024651	ENSSSAG00000045468.2	XM_035768993.2	ENSOKIG00005012255.1	XM_046337704.1
OG0024652	ENSSSAG00000113348.1	XM_052513865.1	ENSOKIG00005012264.1	XM_046320395.1
OG0024653	ENSSSAG00000089855.1	XM_052484193.1	ENSOKIG00005010020.1	XM_046334345.1
OG0024654	ENSSSAG00000041427.2	XM_052481194.1	ENSOKIG00005006931.1	XM_046364720.1
OG0024657	ENSSSAG00000067048.2	XM_035760660.1	ENSOKIG00005002429.1	XM_046354980.1
OG0024658	ENSSSAG00000065008.2	XM_052498247.1	ENSOKIG00005001951.1	XM_046355471.1
OG0024660	ENSSSAG00000070680.2	XM_035741497.2	ENSOKIG00005020363.1	XM_046292273.1
OG0024662	ENSSSAG00000041584.2	XM_052503937.1	ENSOKIG00005044497.1	XM_046348374.1
OG0024664	ENSSSAG00000045360.2	XM_035764245.2	ENSOKIG00005013091.1	XM_046319919.1
OG0024665	ENSSSAG00000081552.2	XM_035788638.2	ENSOKIG00005044410.1	XM_046359450.1
OG0024666	ENSSSAG00000111483.1	XM_052508565.1	ENSOKIG00005013126.1	XM_046320396.1
OG0024668	ENSSSAG00000070720.2	XM_035741493.2	ENSOKIG00005019915.1	XM_046292270.1
OG0024669	ENSSSAG00000012819.2	XM_052502022.1	ENSOKIG00005042939.1	XR_006837204.1
OG0024670	ENSSSAG00000118655.1	XM_052507550.1	ENSOKIG00005029830.1	XM_046340906.1
OG0024671	ENSSSAG00000099717.1	XM_035761991.2	ENSOKIG00005038701.1	XM_046364780.1
OG0024672	ENSSSAG00000088750.1	XM_052508181.1	ENSOKIG00005031623.1	XM_046333811.1
OG0024673	ENSSSAG00000044282.2	XM_052466952.1	ENSOKIG00005038577.1	XM_046342936.1
OG0024674	ENSSSAG00000051476.2	XM_035791194.2	ENSOKIG00005019060.1	XM_046350111.1
OG0024675	ENSSSAG00000084959.1	XM_035754793.2	ENSOKIG00005028428.1	XM_046318616.1
OG0024677	ENSSSAG00000108234.1	XM_035793892.2	ENSOKIG00005013077.1	XM_046291920.1
OG0024678	ENSSSAG00000050804.2	XM_035754779.2	ENSOKIG00005029851.1	XM_046320542.1
OG0024679	ENSSSAG00000070658.2	XM_052484191.1	ENSOKIG00005011483.1	XM_046337920.1
OG0024681	ENSSSAG00000112047.1	XM_035743754.2	ENSOKIG00005011916.1	XM_046334461.1
OG0024683	ENSSSAG00000005595.2	XM_035780097.2	ENSOKIG00005047729.1	XM_046325089.1
OG0024684	ENSSSAG00000099165.1	XM_052505086.1	ENSOKIG00005035099.1	XM_046336599.1
OG0024686	ENSSSAG00000039913.2	XM_052484637.1	ENSOKIG00005012149.1	XM_046344757.1
OG0024688	ENSSSAG00000087552.1	XM_052468882.1	ENSOKIG00005022404.1	XM_046293432.1
OG0024689	ENSSSAG00000058663.2	XM_035800896.2	ENSOKIG00005012393.1	XM_046357593.1
OG0024690	ENSSSAG00000006516.2	XM_035780069.2	ENSOKIG00005029975.1	XM_046325234.1
OG0024691	ENSSSAG00000056595.2	XM_035794027.2	ENSOKIG00005002912.1	XM_046293291.1
OG0024692	ENSSSAG00000056603.2	XM_035794026.2	ENSOKIG00005002928.1	XM_046291778.1
OG0024693	ENSSSAG00000054295.2	XM_035794061.2	ENSOKIG00005032100.1	XM_046293286.1
OG0024694	ENSSSAG00000001920.2	XM_035759529.2	ENSOKIG00005022399.1	XM_046295971.1
OG0024695	ENSSSAG00000001905.2	XM_035759530.2	ENSOKIG00005022385.1	XM_046295972.1
OG0024697	ENSSSAG00000120456.1	XM_052524119.1	ENSOKIG00005007153.1	XM_046299601.1
OG0024699	ENSSSAG00000100370.1	XM_035781390.1	ENSOKIG00005030009.1	XM_046325235.1
OG0024700	ENSSSAG00000109799.1	XM_052516478.1	ENSOKIG00005033230.1	XM_046338332.1
OG0024702	ENSSSAG00000005642.2	XM_035772734.2	ENSOKIG00005047388.1	XM_046314957.1
OG0024704	ENSSSAG00000116194.1	XM_035793907.2	ENSOKIG00005004807.1	XM_046293311.1
OG0024705	ENSSSAG00000055428.2	XM_035763673.2	ENSOKIG00005004335.1	XM_046360954.1
OG0024706	ENSSSAG00000044785.2	XM_052474230.1	ENSOKIG00005013391.1	XM_046338819.1
OG0024707	ENSSSAG00000099436.1	XM_035757586.2	ENSOKIG00005011621.1	XM_046355342.1
OG0024708	ENSSSAG00000095516.1	XM_035754938.2	ENSOKIG00005015880.1	XM_046320430.1
OG0024709	ENSSSAG00000071570.2	XM_035793527.2	ENSOKIG00005006953.1	XM_046362467.1
OG0024710	ENSSSAG00000078682.2	XM_052477548.1	ENSOKIG00005039562.1	XM_046357649.1
OG0024711	ENSSSAG00000043036.2	XM_035797609.2	ENSOKIG00005000227.1	XM_046331950.1
OG0024712	ENSSSAG00000108028.1	XM_052478444.1	ENSOKIG00005039617.1	XM_046357654.1
OG0024714	ENSSSAG00000106239.1	XM_035754693.2	ENSOKIG00005049598.1	XM_046357844.1
OG0024715	ENSSSAG00000080323.2	XM_035754401.2	ENSOKIG00005049600.1	XM_046358585.1
OG0024716	ENSSSAG00000049070.2	XM_052479374.1	ENSOKIG00005001974.1	XM_046351429.1
OG0024718	ENSSSAG00000101214.1	XM_035754385.1	ENSOKIG00005049134.1	XM_046358601.1
OG0024719	ENSSSAG00000081319.2	XM_035788849.2	ENSOKIG00005048082.1	XM_046359196.1
OG0024720	ENSSSAG00000005923.2	XM_052508063.1	ENSOKIG00005032991.1	XM_046321945.1
OG0024721	ENSSSAG00000079895.2	XM_035754690.2	ENSOKIG00005049141.1	XM_046357847.1
OG0024722	ENSSSAG00000099953.1	XM_035761222.2	ENSOKIG00005038696.1	XM_046351451.1
OG0024724	ENSSSAG00000041130.2	XM_035761216.2	ENSOKIG00005038685.1	XM_046351449.1
OG0024725	ENSSSAG00000107802.1	XM_035792781.2	ENSOKIG00005031308.1	XM_046360753.1
OG0024726	ENSSSAG00000024804.2	XM_035753743.2	ENSOKIG00005012608.1	XM_046364452.1
OG0024727	ENSSSAG00000031369.2	XM_035781859.2	ENSOKIG00005004184.1	XM_046304353.1
OG0024728	ENSSSAG00000073142.2	XM_035781860.2	ENSOKIG00005004172.1	XM_046304354.1
OG0024730	ENSSSAG00000041246.2	XM_052479422.1	ENSOKIG00005037320.1	XM_046351455.1
OG0024731	ENSSSAG00000103424.1	XM_035774464.2	ENSOKIG00005046270.1	XM_046299431.1
OG0024732	ENSSSAG00000088552.1	XM_035783879.2	ENSOKIG00005004217.1	XM_046327918.1
OG0024733	ENSSSAG00000041197.2	XM_035748163.2	ENSOKIG00005040575.1	XM_046299602.1
OG0024734	ENSSSAG00000112885.1	XM_035761582.2	ENSOKIG00005006790.1	XM_046328036.1
OG0024735	ENSSSAG00000084461.1	XM_035783966.2	ENSOKIG00005045741.1	XM_046328631.1
OG0024736	ENSSSAG00000111188.1	XM_035761584.2	ENSOKIG00005006797.1	XM_046329023.1
OG0024737	ENSSSAG00000067505.2	XM_035783969.2	ENSOKIG00005045706.1	XM_046328908.1
OG0024738	ENSSSAG00000043757.2	XM_035797610.1	ENSOKIG00005000333.1	XM_046339338.1
OG0024739	ENSSSAG00000122245.1	XM_052498866.1	ENSOKIG00005029719.1	XM_046318870.1
OG0024740	ENSSSAG00000081591.2	XM_035783660.2	ENSOKIG00005003347.1	XR_006834915.1
OG0024741	ENSSSAG00000096992.1	XM_035769997.1	ENSOKIG00005031828.1	XM_046355105.1
OG0024742	ENSSSAG00000109482.1	XM_035792786.2	ENSOKIG00005029886.1	XM_046361405.1
OG0024743	ENSSSAG00000088423.1	XM_052484710.1	ENSOKIG00005011309.1	XM_046337913.1
OG0024744	ENSSSAG00000100751.1	XM_052504900.1	ENSOKIG00005046086.1	XM_046340645.1
OG0024745	ENSSSAG00000114999.1	XM_035766851.2	ENSOKIG00005032062.1	XM_046310995.1
OG0024746	ENSSSAG00000063508.2	XM_035760684.2	ENSOKIG00005030201.1	XM_046356257.1
OG0024748	ENSSSAG00000079987.2	XM_035781793.2	ENSOKIG00005010854.1	XM_046307572.1
OG0024751	ENSSSAG00000080003.2	XM_035781798.2	ENSOKIG00005010556.1	XM_046307520.1
OG0024753	ENSSSAG00000041384.2	XM_035768354.2	ENSOKIG00005025812.1	XM_046302274.1
OG0024754	ENSSSAG00000042298.2	XM_035751221.1	ENSOKIG00005008033.1	XM_046315686.1
OG0024755	ENSSSAG00000076296.2	XM_035790263.1	ENSOKIG00005044985.1	XM_046315046.1
OG0024756	ENSSSAG00000009326.2	XR_008067559.1	ENSOKIG00005040158.1	XM_046348893.1
OG0024757	ENSSSAG00000074073.2	XM_052468945.1	ENSOKIG00005018141.1	XM_046334411.1
OG0024758	ENSSSAG00000070318.2	XM_035772522.2	ENSOKIG00005048651.1	XM_046316902.1
OG0024759	ENSSSAG00000074076.2	XM_035793671.2	ENSOKIG00005018160.1	XM_046292119.1
OG0024760	ENSSSAG00000067193.2	XM_052517592.1	ENSOKIG00005005120.1	XM_046354956.1
OG0024761	ENSSSAG00000067454.2	XM_035754485.2	ENSOKIG00005044385.1	XM_046358477.1
OG0024762	ENSSSAG00000050790.2	XM_035754783.2	ENSOKIG00005029741.1	XM_046319233.1
OG0024763	ENSSSAG00000061191.2	XM_035759159.2	ENSOKIG00005040885.1	XM_046316690.1
OG0024765	ENSSSAG00000066820.2	XM_052498633.1	ENSOKIG00005015673.1	XM_046355406.1
OG0024766	ENSSSAG00000000083.2	XM_052485469.1	ENSOKIG00005016038.1	XM_046307778.1
OG0024767	ENSSSAG00000071360.2	XM_052457403.1	ENSOKIG00005033150.1	XM_046302299.1
OG0024768	ENSSSAG00000000069.2	XM_052515512.1	ENSOKIG00005001831.1	XM_046309647.1
OG0024769	ENSSSAG00000005742.2	XM_035792598.2	ENSOKIG00005027487.1	XM_046364043.1
OG0024770	ENSSSAG00000051282.2	XM_035781494.2	ENSOKIG00005034351.1	XM_046301850.1
OG0024771	ENSSSAG00000100448.1	XM_052484560.1	ENSOKIG00005005047.1	XM_046344770.1
OG0024772	ENSSSAG00000000779.2	XM_052457384.1	ENSOKIG00005045615.1	XM_046316694.1
OG0024773	ENSSSAG00000103924.1	XM_052507912.1	ENSOKIG00005021275.1	XM_046337427.1
OG0024774	ENSSSAG00000101605.1	XM_052484504.1	ENSOKIG00005005070.1	XM_046333290.1
OG0024777	ENSSSAG00000080076.2	XM_035781814.2	ENSOKIG00005009974.1	XM_046306226.1
OG0024778	ENSSSAG00000063516.2	XM_035780022.2	ENSOKIG00005039568.1	XM_046302080.1
OG0024781	ENSSSAG00000084577.1	XM_035796183.2	ENSOKIG00005003491.1	XM_046343077.1
OG0024782	ENSSSAG00000004456.2	XM_035751706.2	ENSOKIG00005049550.1	XM_046364638.1
OG0024783	ENSSSAG00000063864.2	XM_052496615.1	ENSOKIG00005049220.1	XM_046367315.1
OG0024785	ENSSSAG00000066116.2	XM_035782064.1	ENSOKIG00005029989.1	XM_046301509.1
OG0024786	ENSSSAG00000072432.2	XM_035737793.2	ENSOKIG00005027389.1	XM_046352450.1
OG0024787	ENSSSAG00000099818.1	XM_035779282.2	ENSOKIG00005004132.1	XM_046302294.1
OG0024788	ENSSSAG00000064482.2	XM_052480560.1	ENSOKIG00005004083.1	XM_046334710.1
OG0024789	ENSSSAG00000098429.1	XM_035737687.2	ENSOKIG00005004078.1	XM_046334708.1
OG0024790	ENSSSAG00000112145.1	XM_035737689.2	ENSOKIG00005004074.1	XM_046334709.1
OG0024793	ENSSSAG00000070663.2	XM_052481434.1	ENSOKIG00005038551.1	XM_046364190.1
OG0024795	ENSSSAG00000004156.2	XM_035737947.2	ENSOKIG00005028619.1	XM_046364882.1
OG0024797	ENSSSAG00000089701.1	XM_052507112.1	ENSOKIG00005037155.1	XM_046336974.1
OG0024798	ENSSSAG00000043589.2	XM_052497989.1	ENSOKIG00005015685.1	XM_046320269.1
OG0024799	ENSSSAG00000068142.2	XM_052487619.1	ENSOKIG00005034586.1	XM_046323724.1
OG0024800	ENSSSAG00000008527.2	XM_035752749.2	ENSOKIG00005020345.1	XM_046332294.1
OG0024803	ENSSSAG00000120835.1	XM_035792713.2	ENSOKIG00005047056.1	XM_046293172.1
OG0024804	ENSSSAG00000002515.2	XM_035784461.2	ENSOKIG00005031524.1	XM_046328779.1
OG0024805	ENSSSAG00000105456.1	XM_035796140.1	ENSOKIG00005000779.1	XM_046336413.1
OG0024807	ENSSSAG00000004253.2	XM_035772535.1	ENSOKIG00005047986.1	XM_046317335.1
OG0024808	ENSSSAG00000005776.2	XM_035783698.2	ENSOKIG00005016413.1	XM_046328837.1
OG0024809	ENSSSAG00000000715.2	XM_035776876.2	ENSOKIG00005020783.1	XM_046367983.1
OG0024810	ENSSSAG00000104476.1	XM_035742100.2	ENSOKIG00005003683.1	XM_046351865.1
OG0024811	ENSSSAG00000062552.2	XM_035798196.1	ENSOKIG00005049138.1	XM_046351871.1
OG0024812	ENSSSAG00000002881.2	XM_035784474.2	ENSOKIG00005030751.1	XM_046329294.1
OG0024814	ENSSSAG00000064613.2	XM_035798352.2	ENSOKIG00005004757.1	XM_046294331.1
OG0024815	ENSSSAG00000120434.1	XM_052467001.1	ENSOKIG00005016199.1	XM_046350241.1
OG0024816	ENSSSAG00000119038.1	XM_035759736.2	ENSOKIG00005038497.1	XM_046364784.1
OG0024817	ENSSSAG00000083260.1	XM_035787612.2	ENSOKIG00005045607.1	XM_046360423.1
OG0024819	ENSSSAG00000042359.2	XM_052479544.1	ENSOKIG00005037056.1	XM_046351456.1
OG0024820	ENSSSAG00000118468.1	XM_035781089.2	ENSOKIG00005044943.1	XM_046316453.1
OG0024821	ENSSSAG00000004724.2	XM_035772544.2	ENSOKIG00005047426.1	XM_046318044.1
OG0024822	ENSSSAG00000005816.2	XM_035783699.2	ENSOKIG00005016394.1	XM_046328838.1
OG0024823	ENSSSAG00000056463.2	XM_052481297.1	ENSOKIG00005041074.1	XM_046364687.1
OG0024824	ENSSSAG00000092447.1	XM_035783700.2	ENSOKIG00005016386.1	XM_046329124.1
OG0024827	ENSSSAG00000087232.1	XM_035778978.2	ENSOKIG00005009835.1	XM_046316303.1
